SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,Product,Category,Size,Cost_per_box
SP12,G2,P04,1/1/2021,3052,76,204,Raspberry Choco,Bars,LARGE,4.09
SP18,G2,P21,1/4/2021,19229,64,1013,Choco Coated Almonds,Bites,SMALL,6.17
SP15,G6,P21,1/4/2021,1988,179,95,Choco Coated Almonds,Bites,SMALL,6.17
SP12,G6,P09,1/4/2021,147,9,11,Orange Choco,Bars,LARGE,7.14
SP20,G6,P12,1/4/2021,2401,407,134,Fruit & Nut Bars,Bars,LARGE,1.58
SP11,G2,P17,1/4/2021,2814,296,94,Caramel Stuffed Bars,Bars,SMALL,0.54
SP06,G6,P17,1/4/2021,5390,61,216,Caramel Stuffed Bars,Bars,SMALL,0.54
SP23,G3,P02,1/4/2021,3920,16,262,50% Dark Bites,Bites,LARGE,2.57
SP19,G3,P19,1/4/2021,7539,502,943,70% Dark Bites,Bites,SMALL,4.97
SP23,G1,P16,1/5/2021,17248,163,664,Organic Choco Syrup,Other,SMALL,1.47
SP18,G6,P03,1/5/2021,1176,152,66,Almond Choco,Bars,LARGE,9.6
SP17,G5,P13,1/5/2021,9730,361,573,85% Dark Bars,Bars,SMALL,0.64
SP16,G4,P13,1/5/2021,2226,129,140,85% Dark Bars,Bars,SMALL,0.64
SP18,G6,P12,1/5/2021,7063,250,643,Fruit & Nut Bars,Bars,LARGE,1.58
SP07,G4,P11,1/5/2021,7399,420,275,After Nines,Bites,LARGE,4.43
SP04,G2,P09,1/5/2021,4284,230,306,Orange Choco,Bars,LARGE,7.14
SP07,G4,P04,1/5/2021,4865,168,271,Raspberry Choco,Bars,LARGE,4.09
SP06,G4,P19,1/5/2021,3780,111,315,70% Dark Bites,Bites,SMALL,4.97
SP13,G1,P09,1/5/2021,3059,484,279,Orange Choco,Bars,LARGE,7.14
SP11,G6,P11,1/5/2021,6622,57,276,After Nines,Bites,LARGE,4.43
SP04,G1,P20,1/6/2021,644,116,34,Smooth Sliky Salty,Bars,SMALL,2.97
SP08,G1,P11,1/6/2021,4935,87,171,After Nines,Bites,LARGE,4.43
SP13,G6,P22,1/6/2021,7182,29,378,Peanut Butter Cubes,Bites,SMALL,3.57
SP09,G5,P09,1/6/2021,539,10,77,Orange Choco,Bars,LARGE,7.14
SP20,G6,P19,1/6/2021,637,79,91,70% Dark Bites,Bites,SMALL,4.97
SP07,G2,P15,1/6/2021,1470,57,184,Baker's Choco Chips,Bars,SMALL,3.4
SP10,G2,P13,1/6/2021,1442,108,61,85% Dark Bars,Bars,SMALL,0.64
SP11,G2,P20,1/6/2021,9023,224,564,Smooth Sliky Salty,Bars,SMALL,2.97
SP03,G6,P01,1/6/2021,2709,27,101,Milk Bars,Bars,LARGE,1.52
SP19,G3,P21,1/7/2021,5733,193,338,Choco Coated Almonds,Bites,SMALL,6.17
SP05,G3,P02,1/7/2021,10451,155,1307,50% Dark Bites,Bites,LARGE,2.57
SP18,G1,P18,1/7/2021,11228,236,388,Manuka Honey Choco,Other,SMALL,4.75
SP15,G6,P17,1/7/2021,3073,137,129,Caramel Stuffed Bars,Bars,SMALL,0.54
SP09,G5,P13,1/7/2021,5467,109,288,85% Dark Bars,Bars,SMALL,0.64
SP08,G2,P20,1/7/2021,4067,272,226,Smooth Sliky Salty,Bars,SMALL,2.97
SP02,G1,P05,1/8/2021,2814,69,149,Mint Chip Choco,Bars,LARGE,1.54
SP24,G4,P17,1/8/2021,2716,299,105,Caramel Stuffed Bars,Bars,SMALL,0.54
SP22,G5,P09,1/8/2021,3570,61,325,Orange Choco,Bars,LARGE,7.14
SP12,G1,P13,1/8/2021,9562,123,479,85% Dark Bars,Bars,SMALL,0.64
SP17,G4,P22,1/8/2021,2373,2,104,Peanut Butter Cubes,Bites,SMALL,3.57
SP08,G1,P17,1/8/2021,2807,236,123,Caramel Stuffed Bars,Bars,SMALL,0.54
SP10,G2,P01,1/8/2021,420,196,14,Milk Bars,Bars,LARGE,1.52
SP06,G2,P04,1/8/2021,8239,157,515,Raspberry Choco,Bars,LARGE,4.09
SP05,G4,P02,1/8/2021,6797,114,486,50% Dark Bites,Bites,LARGE,2.57
SP22,G4,P13,1/8/2021,6048,56,319,85% Dark Bars,Bars,SMALL,0.64
SP05,G5,P04,1/8/2021,364,14,21,Raspberry Choco,Bars,LARGE,4.09
SP19,G5,P14,1/8/2021,6496,15,406,White Choc,Other,SMALL,0.16
SP24,G2,P09,1/8/2021,1057,45,106,Orange Choco,Bars,LARGE,7.14
SP08,G6,P04,1/8/2021,357,185,17,Raspberry Choco,Bars,LARGE,4.09
SP08,G5,P07,1/8/2021,6419,359,257,Drinking Coco,Other,LARGE,1.62
SP08,G3,P10,1/8/2021,12726,179,579,Spicy Special Slims,Bites,LARGE,5.79
SP16,G2,P13,1/11/2021,6006,109,376,85% Dark Bars,Bars,SMALL,0.64
SP15,G6,P08,1/11/2021,5124,33,285,99% Dark & Pure,Bars,LARGE,2.47
SP23,G4,P01,1/11/2021,2709,188,113,Milk Bars,Bars,LARGE,1.52
SP01,G5,P01,1/11/2021,7238,67,315,Milk Bars,Bars,LARGE,1.52
SP06,G1,P14,1/12/2021,6776,68,424,White Choc,Other,SMALL,0.16
SP11,G6,P01,1/12/2021,189,123,8,Milk Bars,Bars,LARGE,1.52
SP08,G2,P12,1/12/2021,4669,217,390,Fruit & Nut Bars,Bars,LARGE,1.58
SP01,G3,P19,1/12/2021,490,188,35,70% Dark Bites,Bites,SMALL,4.97
SP08,G5,P19,1/12/2021,4235,76,283,70% Dark Bites,Bites,SMALL,4.97
SP13,G2,P07,1/12/2021,4487,161,187,Drinking Coco,Other,LARGE,1.62
SP02,G3,P15,1/12/2021,2653,147,332,Baker's Choco Chips,Bars,SMALL,3.4
SP04,G4,P10,1/12/2021,5306,5,253,Spicy Special Slims,Bites,LARGE,5.79
SP16,G2,P02,1/12/2021,6888,112,689,50% Dark Bites,Bites,LARGE,2.57
SP08,G4,P16,1/12/2021,721,45,24,Organic Choco Syrup,Other,SMALL,1.47
SP14,G1,P10,1/12/2021,8610,124,345,Spicy Special Slims,Bites,LARGE,5.79
SP10,G2,P12,1/12/2021,11739,22,903,Fruit & Nut Bars,Bars,LARGE,1.58
SP16,G1,P09,1/13/2021,4774,206,341,Orange Choco,Bars,LARGE,7.14
SP10,G3,P02,1/13/2021,6307,123,789,50% Dark Bites,Bites,LARGE,2.57
SP21,G3,P08,1/13/2021,4340,168,217,99% Dark & Pure,Bars,LARGE,2.47
SP09,G1,P19,1/13/2021,1078,76,77,70% Dark Bites,Bites,SMALL,4.97
SP13,G6,P03,1/13/2021,5418,287,247,Almond Choco,Bars,LARGE,9.6
SP03,G2,P21,1/13/2021,6069,268,434,Choco Coated Almonds,Bites,SMALL,6.17
SP15,G2,P21,1/13/2021,12334,119,686,Choco Coated Almonds,Bites,SMALL,6.17
SP08,G6,P07,1/13/2021,728,234,32,Drinking Coco,Other,LARGE,1.62
SP21,G1,P15,1/13/2021,2135,179,165,Baker's Choco Chips,Bars,SMALL,3.4
SP07,G4,P13,1/13/2021,2121,130,89,85% Dark Bars,Bars,SMALL,0.64
SP12,G6,P01,1/14/2021,6881,10,222,Milk Bars,Bars,LARGE,1.52
SP24,G4,P07,1/14/2021,1239,97,50,Drinking Coco,Other,LARGE,1.62
SP16,G5,P05,1/14/2021,3598,365,257,Mint Chip Choco,Bars,LARGE,1.54
SP18,G3,P20,1/14/2021,6580,210,347,Smooth Sliky Salty,Bars,SMALL,2.97
SP08,G6,P10,1/14/2021,1127,97,54,Spicy Special Slims,Bites,LARGE,5.79
SP22,G1,P22,1/14/2021,3605,345,139,Peanut Butter Cubes,Bites,SMALL,3.57
SP09,G4,P11,1/14/2021,5096,201,196,After Nines,Bites,LARGE,4.43
SP25,G2,P08,1/14/2021,2135,183,98,99% Dark & Pure,Bars,LARGE,2.47
SP13,G2,P04,1/14/2021,35,142,3,Raspberry Choco,Bars,LARGE,4.09
SP11,G1,P19,1/14/2021,13090,17,935,70% Dark Bites,Bites,SMALL,4.97
SP05,G6,P20,1/14/2021,15785,209,1128,Smooth Sliky Salty,Bars,SMALL,2.97
SP20,G5,P12,1/14/2021,14574,86,810,Fruit & Nut Bars,Bars,LARGE,1.58
SP11,G4,P17,1/14/2021,3556,195,143,Caramel Stuffed Bars,Bars,SMALL,0.54
SP02,G2,P12,1/14/2021,14532,142,969,Fruit & Nut Bars,Bars,LARGE,1.58
SP23,G4,P17,1/14/2021,4445,340,159,Caramel Stuffed Bars,Bars,SMALL,0.54
SP17,G2,P01,1/14/2021,10339,207,357,Milk Bars,Bars,LARGE,1.52
SP03,G4,P11,1/14/2021,1351,282,55,After Nines,Bites,LARGE,4.43
SP02,G4,P15,1/14/2021,4011,260,335,Baker's Choco Chips,Bars,SMALL,3.4
SP17,G6,P12,1/14/2021,5306,333,483,Fruit & Nut Bars,Bars,LARGE,1.58
SP24,G2,P11,1/14/2021,18704,78,585,After Nines,Bites,LARGE,4.43
SP21,G3,P20,1/14/2021,9310,62,582,Smooth Sliky Salty,Bars,SMALL,2.97
SP04,G4,P06,1/14/2021,1211,37,61,Eclairs,Bites,LARGE,2.24
SP09,G3,P04,1/15/2021,3094,317,148,Raspberry Choco,Bars,LARGE,4.09
SP17,G4,P04,1/15/2021,4949,244,248,Raspberry Choco,Bars,LARGE,4.09
SP06,G4,P08,1/15/2021,308,91,19,99% Dark & Pure,Bars,LARGE,2.47
SP11,G1,P17,1/15/2021,7546,49,329,Caramel Stuffed Bars,Bars,SMALL,0.54
SP12,G2,P13,1/15/2021,6713,422,373,85% Dark Bars,Bars,SMALL,0.64
SP14,G4,P17,1/15/2021,6895,318,300,Caramel Stuffed Bars,Bars,SMALL,0.54
SP02,G4,P05,1/15/2021,3430,120,202,Mint Chip Choco,Bars,LARGE,1.54
SP21,G4,P14,1/18/2021,4165,61,348,White Choc,Other,SMALL,0.16
SP25,G1,P03,1/18/2021,2380,209,159,Almond Choco,Bars,LARGE,9.6
SP03,G6,P14,1/18/2021,6594,114,413,White Choc,Other,SMALL,0.16
SP04,G5,P04,1/18/2021,1428,55,76,Raspberry Choco,Bars,LARGE,4.09
SP19,G5,P07,1/18/2021,2646,150,116,Drinking Coco,Other,LARGE,1.62
SP10,G1,P01,1/18/2021,238,364,11,Milk Bars,Bars,LARGE,1.52
SP24,G5,P04,1/18/2021,945,298,50,Raspberry Choco,Bars,LARGE,4.09
SP11,G6,P10,1/18/2021,9436,102,337,Spicy Special Slims,Bites,LARGE,5.79
SP17,G2,P10,1/18/2021,4081,116,152,Spicy Special Slims,Bites,LARGE,5.79
SP04,G2,P08,1/18/2021,10556,25,587,99% Dark & Pure,Bars,LARGE,2.47
SP01,G2,P14,1/18/2021,2331,38,167,White Choc,Other,SMALL,0.16
SP11,G3,P16,1/19/2021,896,346,32,Organic Choco Syrup,Other,SMALL,1.47
SP20,G1,P18,1/19/2021,4214,314,169,Manuka Honey Choco,Other,SMALL,4.75
SP20,G3,P09,1/19/2021,2121,90,177,Orange Choco,Bars,LARGE,7.14
SP23,G1,P13,1/19/2021,1029,386,47,85% Dark Bars,Bars,SMALL,0.64
SP08,G1,P05,1/19/2021,15407,103,771,Mint Chip Choco,Bars,LARGE,1.54
SP03,G4,P17,1/19/2021,10129,134,406,Caramel Stuffed Bars,Bars,SMALL,0.54
SP13,G2,P20,1/19/2021,16380,203,1092,Smooth Sliky Salty,Bars,SMALL,2.97
SP24,G1,P14,1/19/2021,3899,102,279,White Choc,Other,SMALL,0.16
SP05,G3,P10,1/19/2021,12075,264,432,Spicy Special Slims,Bites,LARGE,5.79
SP11,G2,P18,1/19/2021,10696,115,428,Manuka Honey Choco,Other,SMALL,4.75
SP19,G2,P03,1/19/2021,4039,436,238,Almond Choco,Bars,LARGE,9.6
SP18,G1,P22,1/19/2021,5250,410,202,Peanut Butter Cubes,Bites,SMALL,3.57
SP21,G1,P08,1/19/2021,8113,25,508,99% Dark & Pure,Bars,LARGE,2.47
SP08,G6,P06,1/19/2021,161,95,10,Eclairs,Bites,LARGE,2.24
SP07,G6,P10,1/19/2021,8218,205,294,Spicy Special Slims,Bites,LARGE,5.79
SP06,G5,P15,1/19/2021,742,80,53,Baker's Choco Chips,Bars,SMALL,3.4
SP03,G2,P11,1/19/2021,3087,193,111,After Nines,Bites,LARGE,4.43
SP08,G1,P18,1/19/2021,5110,131,155,Manuka Honey Choco,Other,SMALL,4.75
SP04,G4,P04,1/19/2021,5873,164,267,Raspberry Choco,Bars,LARGE,4.09
SP11,G6,P05,1/19/2021,4641,301,357,Mint Chip Choco,Bars,LARGE,1.54
SP04,G4,P22,1/20/2021,1155,34,45,Peanut Butter Cubes,Bites,SMALL,3.57
SP10,G6,P02,1/20/2021,784,247,49,50% Dark Bites,Bites,LARGE,2.57
SP25,G4,P05,1/20/2021,5369,16,384,Mint Chip Choco,Bars,LARGE,1.54
SP10,G3,P06,1/20/2021,343,338,18,Eclairs,Bites,LARGE,2.24
SP10,G6,P19,1/20/2021,7007,38,584,70% Dark Bites,Bites,SMALL,4.97
SP15,G1,P15,1/20/2021,126,127,13,Baker's Choco Chips,Bars,SMALL,3.4
SP16,G1,P08,1/20/2021,3073,57,134,99% Dark & Pure,Bars,LARGE,2.47
SP19,G4,P21,1/21/2021,7805,86,488,Choco Coated Almonds,Bites,SMALL,6.17
SP09,G6,P11,1/21/2021,3087,14,124,After Nines,Bites,LARGE,4.43
SP13,G4,P21,1/21/2021,9030,85,452,Choco Coated Almonds,Bites,SMALL,6.17
SP04,G2,P20,1/21/2021,7805,6,411,Smooth Sliky Salty,Bars,SMALL,2.97
SP18,G1,P11,1/21/2021,6979,38,233,After Nines,Bites,LARGE,4.43
SP19,G1,P07,1/21/2021,11284,39,513,Drinking Coco,Other,LARGE,1.62
SP17,G5,P01,1/21/2021,2408,106,90,Milk Bars,Bars,LARGE,1.52
SP03,G6,P02,1/21/2021,5299,86,332,50% Dark Bites,Bites,LARGE,2.57
SP10,G6,P16,1/21/2021,6293,158,234,Organic Choco Syrup,Other,SMALL,1.47
SP08,G5,P03,1/21/2021,280,408,17,Almond Choco,Bars,LARGE,9.6
SP05,G1,P13,1/21/2021,644,483,30,85% Dark Bars,Bars,SMALL,0.64
SP07,G5,P21,1/21/2021,2191,65,110,Choco Coated Almonds,Bites,SMALL,6.17
SP16,G4,P21,1/21/2021,427,267,26,Choco Coated Almonds,Bites,SMALL,6.17
SP14,G3,P20,1/21/2021,5537,346,426,Smooth Sliky Salty,Bars,SMALL,2.97
SP18,G5,P08,1/21/2021,742,264,31,99% Dark & Pure,Bars,LARGE,2.47
SP23,G3,P13,1/21/2021,4200,457,248,85% Dark Bars,Bars,SMALL,0.64
SP08,G6,P15,1/21/2021,5299,203,442,Baker's Choco Chips,Bars,SMALL,3.4
SP08,G2,P17,1/21/2021,3829,286,160,Caramel Stuffed Bars,Bars,SMALL,0.54
SP20,G4,P18,1/21/2021,5747,70,192,Manuka Honey Choco,Other,SMALL,4.75
SP06,G4,P13,1/21/2021,2345,199,147,85% Dark Bars,Bars,SMALL,0.64
SP12,G4,P09,1/22/2021,4312,181,616,Orange Choco,Bars,LARGE,7.14
SP25,G4,P13,1/22/2021,1358,68,68,85% Dark Bars,Bars,SMALL,0.64
SP01,G2,P09,1/22/2021,13146,85,1644,Orange Choco,Bars,LARGE,7.14
SP05,G5,P14,1/22/2021,12047,295,927,White Choc,Other,SMALL,0.16
SP08,G3,P20,1/22/2021,5971,44,460,Smooth Sliky Salty,Bars,SMALL,2.97
SP16,G4,P02,1/22/2021,3038,280,254,50% Dark Bites,Bites,LARGE,2.57
SP20,G6,P16,1/22/2021,8022,167,268,Organic Choco Syrup,Other,SMALL,1.47
SP16,G3,P15,1/22/2021,2226,1,248,Baker's Choco Chips,Bars,SMALL,3.4
SP10,G3,P17,1/22/2021,2366,470,79,Caramel Stuffed Bars,Bars,SMALL,0.54
SP24,G5,P02,1/22/2021,8386,194,599,50% Dark Bites,Bites,LARGE,2.57
SP03,G3,P16,1/22/2021,13230,261,576,Organic Choco Syrup,Other,SMALL,1.47
SP17,G6,P03,1/22/2021,1771,151,111,Almond Choco,Bars,LARGE,9.6
SP13,G6,P04,1/22/2021,3416,458,228,Raspberry Choco,Bars,LARGE,4.09
SP17,G6,P13,1/22/2021,15197,11,634,85% Dark Bars,Bars,SMALL,0.64
SP08,G4,P15,1/22/2021,5971,59,498,Baker's Choco Chips,Bars,SMALL,3.4
SP02,G6,P09,1/22/2021,13335,227,1667,Orange Choco,Bars,LARGE,7.14
SP23,G3,P21,1/22/2021,4613,54,210,Choco Coated Almonds,Bites,SMALL,6.17
SP12,G1,P12,1/22/2021,10430,110,580,Fruit & Nut Bars,Bars,LARGE,1.58
SP20,G2,P03,1/22/2021,168,94,10,Almond Choco,Bars,LARGE,9.6
SP25,G6,P08,1/22/2021,4606,256,192,99% Dark & Pure,Bars,LARGE,2.47
SP11,G6,P14,1/22/2021,1491,193,136,White Choc,Other,SMALL,0.16
SP02,G1,P08,1/25/2021,12194,302,509,99% Dark & Pure,Bars,LARGE,2.47
SP12,G6,P04,1/25/2021,10122,206,533,Raspberry Choco,Bars,LARGE,4.09
SP09,G5,P08,1/25/2021,1841,164,88,99% Dark & Pure,Bars,LARGE,2.47
SP16,G6,P09,1/25/2021,6958,337,580,Orange Choco,Bars,LARGE,7.14
SP07,G1,P08,1/25/2021,749,323,35,99% Dark & Pure,Bars,LARGE,2.47
SP16,G6,P04,1/25/2021,3507,48,195,Raspberry Choco,Bars,LARGE,4.09
SP17,G4,P15,1/25/2021,7294,122,562,Baker's Choco Chips,Bars,SMALL,3.4
SP10,G1,P12,1/25/2021,5040,219,420,Fruit & Nut Bars,Bars,LARGE,1.58
SP10,G1,P16,1/25/2021,3913,257,157,Organic Choco Syrup,Other,SMALL,1.47
SP09,G2,P02,1/25/2021,3598,101,300,50% Dark Bites,Bites,LARGE,2.57
SP19,G2,P10,1/25/2021,8911,302,319,Spicy Special Slims,Bites,LARGE,5.79
SP08,G4,P22,1/25/2021,42,35,2,Peanut Butter Cubes,Bites,SMALL,3.57
SP13,G1,P21,1/25/2021,2282,222,109,Choco Coated Almonds,Bites,SMALL,6.17
SP23,G3,P08,1/25/2021,12964,242,541,99% Dark & Pure,Bars,LARGE,2.47
SP09,G3,P20,1/25/2021,5775,219,361,Smooth Sliky Salty,Bars,SMALL,2.97
SP16,G4,P10,1/25/2021,10787,100,400,Spicy Special Slims,Bites,LARGE,5.79
SP20,G5,P21,1/25/2021,6342,115,374,Choco Coated Almonds,Bites,SMALL,6.17
SP14,G1,P22,1/25/2021,11564,46,463,Peanut Butter Cubes,Bites,SMALL,3.57
SP03,G2,P04,1/25/2021,2793,37,156,Raspberry Choco,Bars,LARGE,4.09
SP18,G3,P19,1/25/2021,1603,81,134,70% Dark Bites,Bites,SMALL,4.97
SP06,G5,P03,1/25/2021,3052,357,180,Almond Choco,Bars,LARGE,9.6
SP12,G3,P21,1/25/2021,1659,82,83,Choco Coated Almonds,Bites,SMALL,6.17
SP01,G4,P05,1/25/2021,3143,82,210,Mint Chip Choco,Bars,LARGE,1.54
SP02,G2,P21,1/25/2021,12782,212,609,Choco Coated Almonds,Bites,SMALL,6.17
SP21,G4,P19,1/25/2021,343,313,32,70% Dark Bites,Bites,SMALL,4.97
SP10,G4,P14,1/25/2021,1785,216,138,White Choc,Other,SMALL,0.16
SP10,G3,P09,1/25/2021,4914,46,615,Orange Choco,Bars,LARGE,7.14
SP18,G6,P14,1/26/2021,1869,242,208,White Choc,Other,SMALL,0.16
SP04,G1,P10,1/26/2021,8512,173,387,Spicy Special Slims,Bites,LARGE,5.79
SP23,G6,P09,1/26/2021,9296,1,716,Orange Choco,Bars,LARGE,7.14
SP20,G5,P07,1/26/2021,6034,229,263,Drinking Coco,Other,LARGE,1.62
SP22,G1,P11,1/26/2021,9471,166,365,After Nines,Bites,LARGE,4.43
SP15,G1,P22,1/26/2021,3815,146,166,Peanut Butter Cubes,Bites,SMALL,3.57
SP01,G4,P06,1/26/2021,9485,140,527,Eclairs,Bites,LARGE,2.24
SP16,G2,P16,1/26/2021,3549,78,132,Organic Choco Syrup,Other,SMALL,1.47
SP04,G6,P09,1/26/2021,1512,61,117,Orange Choco,Bars,LARGE,7.14
SP13,G3,P16,1/26/2021,2296,113,96,Organic Choco Syrup,Other,SMALL,1.47
SP11,G1,P01,1/27/2021,17402,43,697,Milk Bars,Bars,LARGE,1.52
SP15,G6,P12,1/27/2021,11816,160,844,Fruit & Nut Bars,Bars,LARGE,1.58
SP17,G4,P16,1/27/2021,10612,232,425,Organic Choco Syrup,Other,SMALL,1.47
SP01,G2,P01,1/27/2021,5558,263,192,Milk Bars,Bars,LARGE,1.52
SP21,G6,P04,1/27/2021,14056,148,781,Raspberry Choco,Bars,LARGE,4.09
SP09,G2,P16,1/27/2021,5131,171,166,Organic Choco Syrup,Other,SMALL,1.47
SP16,G2,P08,1/27/2021,1477,352,87,99% Dark & Pure,Bars,LARGE,2.47
SP06,G5,P04,1/27/2021,7686,72,549,Raspberry Choco,Bars,LARGE,4.09
SP23,G6,P13,1/27/2021,8722,35,460,85% Dark Bars,Bars,SMALL,0.64
SP08,G6,P16,1/27/2021,6370,35,206,Organic Choco Syrup,Other,SMALL,1.47
SP03,G6,P13,1/27/2021,4074,208,240,85% Dark Bars,Bars,SMALL,0.64
SP24,G4,P11,1/27/2021,1309,97,51,After Nines,Bites,LARGE,4.43
SP07,G5,P20,1/27/2021,4991,137,357,Smooth Sliky Salty,Bars,SMALL,2.97
SP04,G3,P22,1/27/2021,6965,91,367,Peanut Butter Cubes,Bites,SMALL,3.57
SP15,G5,P18,1/27/2021,10199,497,408,Manuka Honey Choco,Other,SMALL,4.75
SP12,G4,P21,1/27/2021,7392,9,390,Choco Coated Almonds,Bites,SMALL,6.17
SP01,G4,P12,1/27/2021,5880,71,392,Fruit & Nut Bars,Bars,LARGE,1.58
SP04,G2,P11,1/27/2021,5950,25,238,After Nines,Bites,LARGE,4.43
SP14,G2,P16,1/27/2021,10395,57,336,Organic Choco Syrup,Other,SMALL,1.47
SP22,G1,P07,1/27/2021,6174,33,247,Drinking Coco,Other,LARGE,1.62
SP04,G4,P19,1/27/2021,15239,170,1524,70% Dark Bites,Bites,SMALL,4.97
SP21,G3,P09,1/27/2021,2219,145,247,Orange Choco,Bars,LARGE,7.14
SP17,G4,P19,1/27/2021,3150,70,243,70% Dark Bites,Bites,SMALL,4.97
SP17,G6,P15,1/27/2021,2968,216,212,Baker's Choco Chips,Bars,SMALL,3.4
SP02,G3,P05,1/27/2021,3241,199,163,Mint Chip Choco,Bars,LARGE,1.54
SP15,G3,P07,1/27/2021,3605,120,151,Drinking Coco,Other,LARGE,1.62
SP20,G3,P08,1/28/2021,3640,169,174,99% Dark & Pure,Bars,LARGE,2.47
SP11,G3,P08,1/28/2021,1309,294,77,99% Dark & Pure,Bars,LARGE,2.47
SP13,G1,P06,1/28/2021,10346,131,739,Eclairs,Bites,LARGE,2.24
SP15,G3,P04,1/28/2021,1071,359,54,Raspberry Choco,Bars,LARGE,4.09
SP11,G6,P19,1/28/2021,6328,119,791,70% Dark Bites,Bites,SMALL,4.97
SP07,G3,P11,1/28/2021,1820,143,68,After Nines,Bites,LARGE,4.43
SP09,G1,P21,1/28/2021,3437,179,157,Choco Coated Almonds,Bites,SMALL,6.17
SP17,G6,P14,1/28/2021,4550,214,455,White Choc,Other,SMALL,0.16
SP01,G3,P07,1/28/2021,2968,259,110,Drinking Coco,Other,LARGE,1.62
SP14,G2,P06,1/28/2021,12565,4,898,Eclairs,Bites,LARGE,2.24
SP17,G3,P01,1/28/2021,8246,294,318,Milk Bars,Bars,LARGE,1.52
SP09,G1,P05,1/28/2021,1190,137,70,Mint Chip Choco,Bars,LARGE,1.54
SP24,G4,P06,1/28/2021,3283,146,183,Eclairs,Bites,LARGE,2.24
SP08,G5,P18,1/28/2021,3087,300,115,Manuka Honey Choco,Other,SMALL,4.75
SP20,G1,P21,1/28/2021,6531,244,297,Choco Coated Almonds,Bites,SMALL,6.17
SP16,G2,P14,1/28/2021,4228,55,249,White Choc,Other,SMALL,0.16
SP24,G2,P17,1/28/2021,10094,118,389,Caramel Stuffed Bars,Bars,SMALL,0.54
SP21,G4,P01,1/28/2021,182,46,6,Milk Bars,Bars,LARGE,1.52
SP22,G4,P14,1/28/2021,616,151,37,White Choc,Other,SMALL,0.16
SP24,G2,P20,1/29/2021,12131,121,809,Smooth Sliky Salty,Bars,SMALL,2.97
SP07,G2,P07,1/29/2021,2394,323,93,Drinking Coco,Other,LARGE,1.62
SP12,G1,P14,1/29/2021,14287,89,841,White Choc,Other,SMALL,0.16
SP11,G4,P03,1/29/2021,10941,185,730,Almond Choco,Bars,LARGE,9.6
SP24,G6,P07,1/29/2021,7777,345,260,Drinking Coco,Other,LARGE,1.62
SP06,G3,P09,1/29/2021,9436,7,858,Orange Choco,Bars,LARGE,7.14
SP07,G3,P12,1/29/2021,1267,104,116,Fruit & Nut Bars,Bars,LARGE,1.58
SP07,G2,P11,1/29/2021,8806,32,327,After Nines,Bites,LARGE,4.43
SP06,G6,P21,1/29/2021,3640,403,243,Choco Coated Almonds,Bites,SMALL,6.17
SP07,G6,P17,1/29/2021,4900,239,182,Caramel Stuffed Bars,Bars,SMALL,0.54
SP18,G5,P14,1/29/2021,5558,219,348,White Choc,Other,SMALL,0.16
SP25,G4,P03,1/29/2021,9142,1,436,Almond Choco,Bars,LARGE,9.6
SP02,G6,P05,1/29/2021,3514,143,235,Mint Chip Choco,Bars,LARGE,1.54
