Product,Amount,Boxes
85% Dark Bars,2345,147
Orange Choco,4312,616
85% Dark Bars,1358,68
Orange Choco,13146,1644
White Choc,12047,927
Smooth Sliky Salty,5971,460
50% Dark Bites,3038,254
Organic Choco Syrup,8022,268
Baker's Choco Chips,2226,248
Caramel Stuffed Bars,2366,79
50% Dark Bites,8386,599
Organic Choco Syrup,13230,576
Almond Choco,1771,111
Raspberry Choco,3416,228
85% Dark Bars,15197,634
